########## точність 1e-6 ##########
Лабораторна робота №3 (варіант 19)
Виконав: студент групи ІПЗ-11 Одарчук Олексій
Обчислення суми ряду  SUM(x=1..5) SUM(k=1..inf) (-1)^k*x^k / ((k+2)^3*sqrt(k))

Увага: при k = 0 елемент ряду не визначено (sqrt(0) = 0 у знаменнику),
       тому внутрішнє підсумовування починається з k = 1.

Уведіть точність обчислення елемента ряду (наприклад 1e-6): 1e-6

Задана точність: 1.000e-06

=== Зовнішній параметр x = 1 ===
       x |      k |      елемент ряду a(k) |        накопичена сума
  -------+--------+------------------------+------------------------
       1 |      1 |    -3.703703703704e-02 |    -3.703703703704e-02
       1 |      2 |     1.104854345604e-02 |    -2.598849358100e-02
       1 |      3 |    -4.618802153517e-03 |    -3.060729573451e-02
       1 |      4 |     2.314814814815e-03 |    -2.829248091970e-02
       1 |      5 |    -1.303829724490e-03 |    -2.959631064419e-02
       1 |      6 |     7.973599423122e-04 |    -2.879895070188e-02
       1 |      7 |    -5.184697846491e-04 |    -2.931742048653e-02
       1 |      8 |     3.535533905933e-04 |    -2.896386709593e-02
       1 |      9 |    -2.504382669672e-04 |    -2.921430536290e-02
       1 |     10 |     1.830021794079e-04 |    -2.903130318349e-02
       1 |     11 |    -1.372377535629e-04 |    -2.916854093705e-02
       1 |     12 |     1.052023085258e-04 |    -2.906333862853e-02
       1 |     13 |    -8.217780684818e-05 |    -2.914551643538e-02
       1 |     14 |     6.524932663878e-05 |    -2.908026710874e-02
       1 |     15 |    -5.255422140182e-05 |    -2.913282133014e-02
       1 |     16 |     4.286694101509e-05 |    -2.908995438913e-02
       1 |     17 |    -3.536020192978e-05 |    -2.912531459106e-02
       1 |     18 |     2.946278254944e-05 |    -2.909585180851e-02
       1 |     19 |    -2.477224207651e-05 |    -2.912062405058e-02
       1 |     20 |     2.099988709147e-05 |    -2.909962416349e-02
       1 |     21 |    -1.793522562965e-05 |    -2.911755938912e-02
       1 |     22 |     1.542250552341e-05 |    -2.910213688360e-02
       1 |     23 |    -1.334492249965e-05 |    -2.911548180610e-02
       1 |     24 |     1.161379979699e-05 |    -2.910386800630e-02
       1 |     25 |    -1.016105268506e-05 |    -2.911402905898e-02
       1 |     26 |     8.933861841207e-06 |    -2.910509519714e-02
       1 |     27 |    -7.890856112587e-06 |    -2.911298605326e-02
       1 |     28 |     6.999342092763e-06 |    -2.910598671116e-02
       1 |     29 |    -6.233269718272e-06 |    -2.911221998088e-02
       1 |     30 |     5.571721979830e-06 |    -2.910664825890e-02
       1 |     31 |    -4.997782286412e-06 |    -2.911164604119e-02
       1 |     32 |     4.497676961547e-06 |    -2.910714836423e-02
       1 |     33 |    -4.060120255526e-06 |    -2.911120848448e-02
       1 |     34 |     3.675809866738e-06 |    -2.910753267462e-02
       1 |     35 |    -3.337035337408e-06 |    -2.911086970995e-02
       1 |     36 |     3.037371822909e-06 |    -2.910783233813e-02
       1 |     37 |    -2.771438953883e-06 |    -2.911060377708e-02
       1 |     38 |     2.534709705168e-06 |    -2.910806906738e-02
       1 |     39 |    -2.323357957735e-06 |    -2.911039242534e-02
       1 |     40 |     2.134136203007e-06 |    -2.910825828913e-02
       1 |     41 |    -1.964276879880e-06 |    -2.911022256601e-02
       1 |     42 |     1.811412353988e-06 |    -2.910841115366e-02
       1 |     43 |    -1.673509688149e-06 |    -2.911008466335e-02
       1 |     44 |     1.548817213455e-06 |    -2.910853584613e-02
       1 |     45 |    -1.435820564807e-06 |    -2.910997166670e-02
       1 |     46 |     1.333206345440e-06 |    -2.910863846035e-02
       1 |     47 |    -1.239831970505e-06 |    -2.910987829232e-02
       1 |     48 |     1.154700538379e-06 |    -2.910872359179e-02
       1 |     49 |    -1.076939810911e-06 |    -2.910980053160e-02
       1 |     50 |     1.005784565866e-06 |    -2.910879474703e-02
       1 |     51 |    -9.405617281568e-07 |    -2.910973530876e-02
  Доданків обчислено: 51; зупинка: досягнуто заданої точності (ряд збігся)
  Внутрішня сума при x = 1: -2.910973530876e-02

=== Зовнішній параметр x = 2 ===
       x |      k |      елемент ряду a(k) |        накопичена сума
  -------+--------+------------------------+------------------------
       2 |      1 |    -7.407407407407e-02 |    -7.407407407407e-02
       2 |      2 |     4.419417382416e-02 |    -2.987990024991e-02
       2 |      3 |    -3.695041722814e-02 |    -6.683031747805e-02
       2 |      4 |     3.703703703704e-02 |    -2.979328044101e-02
       2 |      5 |    -4.172255118367e-02 |    -7.151583162468e-02
       2 |      6 |     5.103103630798e-02 |    -2.048479531670e-02
       2 |      7 |    -6.636413243509e-02 |    -8.684892775179e-02
       2 |      8 |     9.050966799188e-02 |     3.660740240087e-03
       2 |      9 |    -1.282243926872e-01 |    -1.245636524471e-01
       2 |     10 |     1.873942317137e-01 |     6.283057926657e-02
       2 |     11 |    -2.810629192969e-01 |    -2.182323400303e-01
       2 |     12 |     4.309086557217e-01 |     2.126763156914e-01
       2 |     13 |    -6.732005937003e-01 |    -4.605242780089e-01
       2 |     14 |     1.069044967650e+00 |     6.085206896408e-01
       2 |     15 |    -1.722096726895e+00 |    -1.113576037254e+00
       2 |     16 |     2.809327846365e+00 |     1.695751809111e+00
       2 |     17 |    -4.634732387340e+00 |    -2.938980578229e+00
       2 |     18 |     7.723491668640e+00 |     4.784511090411e+00
       2 |     19 |    -1.298778925381e+01 |    -8.203278163398e+00
       2 |     20 |     2.201997760683e+01 |     1.381669944343e+01
       2 |     21 |    -3.761289429968e+01 |    -2.379619485625e+01
       2 |     22 |     6.468667660686e+01 |     4.089048175061e+01
       2 |     23 |    -1.119453236400e+02 |    -7.105484188936e+01
       2 |     24 |     1.948472277749e+02 |     1.237923858855e+02
       2 |     25 |    -3.409483513692e+02 |    -2.171559654837e+02
       2 |     26 |     5.995413192964e+02 |     3.823853538127e+02
       2 |     27 |    -1.059092779406e+03 |    -6.767074255936e+02
       2 |     28 |     1.878871586371e+03 |     1.202164160777e+03
       2 |     29 |    -3.346461198391e+03 |    -2.144297037613e+03
       2 |     30 |     5.982590921443e+03 |     3.838293883830e+03
       2 |     31 |    -1.073265573633e+04 |    -6.894361852503e+03
       2 |     32 |     1.931737545782e+04 |     1.242301360531e+04
